0,1,2,3,4,5,6,7
web前端工程师,          中软国际        ,面议,Vue|上市公司|10000人以上|计算机软件,郑州·金水·博学路,3-5年,本科,http://www.zhaopin.com/jobdetail/CC508620120J40605457712.htm
Web前端开发工程师,          武汉博悦天诚科技有限公司        ,6千-1万,Vue|React|CSS|HTML5|JavaScript|WEB端开发|民营|100-299人|贸易/进出口,武汉·洪山·关山,3-5年,大专,http://www.zhaopin.com/jobdetail/CC839308950J40671696512.htm
web前端工程师,          深圳市法本信息技术股份有限公司        ,1.1万-1.2万,电商项目|HTML5|Vue|上市公司|1000-9999人|计算机软件,南京·雨花台·铁心桥,3-5年,本科,http://www.zhaopin.com/jobdetail/CC385622410J40582530806.htm
Web前端工程师,          中软国际        ,面议,Web前端|HTML|CSS|Vue|web前端|React|Angular|JavaScript|上市公司|10000人以上|计算机软件,西安·雁塔·鱼化寨,1-3年,本科,http://www.zhaopin.com/jobdetail/CC508620120J40246178512.htm
web前端开发工程师,          浙江轩毅信息技术有限公司        ,8千-1.2万,大屏/可视化项目|CSS|JavaScript|股份制企业|20-99人|物联网,宁波·鄞州·梅墟,1-3年,大专,http://www.zhaopin.com/jobdetail/CCL1318806630J40603894506.htm
web前端工程师（包吃住）,          四川彼岸方舟科技有限公司        ,1.2万-1.5万,大屏/可视化项目|HTML5|CSS|Vue|ElementUI|移动端|民营|100-299人|互联网,成都·龙泉驿·山泉,3-5年,大专,http://www.zhaopin.com/jobdetail/CCL1339275960J40665032211.htm
web前端工程师,          福州元九通讯技术有限公司        ,9千-1.2万,CSS|HTML5|Vue|ElementUI|民营|20-99人|IT服务,福州·长乐·文武砂,5-10年,大专,http://www.zhaopin.com/jobdetail/CC427434910J40654318310.htm
web前端开发,          广州潮流服装有限公司        ,1万-1.5万,移动前端|web前端|全栈开发|小程序开发|前端架构|ES6|gulp|Webpack|民营|20人以下|互联网,广州·白云·均禾,1-3年,学历不限,http://www.zhaopin.com/jobdetail/CC297982280J00069089405.htm
web前端工程师（2025届校招）,          北京中科江南信息技术股份有限公司        ,1万-2万,JavaScript|HTML5|TypeScript|Vue|React|jQuery|Node.js|上市公司|1000-9999人|计算机软件,北京·海淀·海淀街道,无经验,本科,http://www.zhaopin.com/jobdetail/CC432744520J40634077108.htm
web前端工程师,          沈阳东博恒翼科技有限公司        ,1万-1.5万,Vue|CGIS|三维产品图形开发|气象|OpenLayers|股份制企业|100-299人|计算机软件,沈阳·浑南·白塔,3-5年,本科,http://www.zhaopin.com/jobdetail/CC272580020J40535111304.htm
web前端工程师,          山东鼎信数字科技有限公司        ,7千-1.1万,Vue|MVC/MVVM|React|JavaScript|NPM|HTML|民营|300-499人|互联网,济南·历下·姚家,1-3年,本科,http://www.zhaopin.com/jobdetail/CC463656010J40622111008.htm
web前端开发工程师,          陕西尚品信息科技有限公司        ,9千-1.5万,Vue|jQuery|前端开发|民营|20-99人|互联网,西安·雁塔,3-5年,本科,http://www.zhaopin.com/jobdetail/CC667788320J40680538112.htm
高级web前端工程师（信息中心十八里河）,          郑州科瑞思拓软件科技有限公司        ,9千-1.1万·13薪,Vue|TypeScript|React|民营|100-299人|计算机软件,郑州·管城·十八里河,5-10年,本科,http://www.zhaopin.com/jobdetail/CC393603820J40547930503.htm
Web前端工程师,          软通动力信息技术(集团)股份有限公司        ,1万-1.5万,web前端|Vue|民营|10000人以上|互联网,深圳·龙岗·坂田,1-3年,本科,http://www.zhaopin.com/jobdetail/CC000544460J40363489716.htm
WEB前端开发,          武汉祺云科技有限公司        ,7千-1.4万·14薪,HTML5|CSS3|Bootstrap|HTML|JSON|AJAX|Javascript|Echarts|民营|20人以下|计算机软件,武汉·江夏·关东,1-3年,本科,http://www.zhaopin.com/jobdetail/CC874751690J40211036215.htm
web前端开发工程师,          应辉环境科技服务(烟台)有限公司        ,8千-1.1万,Flutter|Vue|WebGL|民营|20-99人|云计算/大数据,烟台·芝罘·黄务,经验不限,大专,http://www.zhaopin.com/jobdetail/CC817314830J40513769402.htm
web前端工程师,          泛喜健康科技有限公司        ,7千-1.2万,大屏/可视化项目|Vue|uni-app|jQuery|Node.js|Echarts|股份制企业|20-99人|计算机软件,济南·历下·姚家,3-5年,本科,http://www.zhaopin.com/jobdetail/CC310851180J40609788503.htm
web前端工程师,          软通动力信息技术(集团)股份有限公司        ,1.1万-1.8万,Vue|React|HTML5|民营|10000人以上|互联网,南京·江宁·淳化,3-5年,本科,http://www.zhaopin.com/jobdetail/CC000544460J40504688516.htm
web前端开发工程师,          山东永川科技有限公司郑州分公司        ,9千-1.2万,JavaScript|CSS|Node.js|Three.js|WebGL|Vue|React|100-299人|互联网,郑州·中原·林山寨,3-5年,本科,http://www.zhaopin.com/jobdetail/CCL1459762140J40640811402.htm
Web前端开发工程师,          京北方        ,1万-1.6万,Vue|ELEMENT-UI|ES6|HTML|CSS|前端开发|Oracle|JavaScript|民营|10000人以上|IT服务,成都·双流·兴隆,5-10年,本科,http://www.zhaopin.com/jobdetail/CC315847110J40304218407.htm
web前端工程师,          软通动力信息技术(集团)股份有限公司        ,9千-1.5万,Vue|民营|10000人以上|互联网,杭州·滨江·长河,3-5年,本科,http://www.zhaopin.com/jobdetail/CC000544460J40557844016.htm
web前端开发工程师,          新疆恒和久远信息技术有限公司        ,8千-1.5万,Javascript|CSS|Vue|HTML|jQuery|AJAX|HTML5|web前端|民营|20-99人|IT服务,西安·雁塔·杜城,3-5年,本科,http://www.zhaopin.com/jobdetail/CC173320620J40070500008.htm
移动web前端开发工程师（在校生优先）,          武汉艾特精英教育科技有限公司        ,100-150/天,CSS|HTML5|UI设计|SAAS软件项目|民营|20-99人|IT服务,武汉·洪山·卓刀泉,无经验,本科,http://www.zhaopin.com/jobdetail/CC843116420J40609950212.htm
Web前端开发,          软通动力信息技术(集团)股份有限公司        ,1万-1.3万,React|Vue|MOBILE WEB|民营|10000人以上|互联网,海口·美兰·蓝天,3-5年,本科,http://www.zhaopin.com/jobdetail/CC000544460J40582734916.htm
web前端开发工程师,          外企德科数字技术有限公司        ,1.5万-3万,JavaScript|合资|10000人以上|人力资源服务,武汉·江夏·豹澥,3-5年,本科,http://www.zhaopin.com/jobdetail/CCL1480117890J40685261405.htm
web前端工程师（上市国企，银行驻场）,          北京南天信息工程有限公司        ,1.2万-1.3万,Vue|WEB|上市公司|500-999人|计算机软件,北京·海淀·苏家坨,3-5年,本科,http://www.zhaopin.com/jobdetail/CC190963110J40650121803.htm
Web前端工程师-中信,          北京木棉时代科技有限公司        ,1.1万-1.5万,CSS|JavaScript|HTML5|工作流|OA|信息化|Vue|Angular|jQuery|Node.js|Java|JAVASCRIPTES|linux|git|民营|20-99人|IT服务,北京·朝阳·建外,5-10年,大专,http://www.zhaopin.com/jobdetail/CC836784300J40630845716.htm
web前端工程师,          大连铭信科技发展有限公司        ,8千-1.4万,React|Node.js|ANTD|axios|民营|20-99人|互联网,大连·甘井子·凌水,3-5年,本科,http://www.zhaopin.com/jobdetail/CC601590520J40586282606.htm
web前端工程师,          福建图讯信息技术有限公司        ,6千-1.2万,Vue|GIS/地图项目|WebGL|民营|20-99人|计算机软件,厦门·思明,1-3年,本科,http://www.zhaopin.com/jobdetail/CC828211230J40596247803.htm
web前端开发工程师,          京北方        ,1.1万-1.5万,金融项目|银行项目|Vue|小程序|HTML5|CSS|JavaScript|民营|10000人以上|IT服务,青岛·市南·香港中路,5-10年,本科,http://www.zhaopin.com/jobdetail/CC315847110J40684676807.htm
web前端开发实习生,          杭州五极网络技术有限公司        ,150-200/天,大屏/可视化项目|电商项目|ERP项目|CSS|JavaScript|HTML5|Vue|React|Node.js|Unity3D|Echarts|民营|20-99人|网络/信息安全,杭州·余杭·中泰,无经验,本科,http://www.zhaopin.com/jobdetail/CC859863750J40631389807.htm
web前端工程师,          深圳特为科创信息技术有限公司        ,1.1万-1.4万,金融项目|React|Vue|民营|500-999人|计算机软件,深圳·福田·福田街道,3-5年,本科,http://www.zhaopin.com/jobdetail/CC659860620J40826431004.htm
Web前端工程师,          北京真源信息技术有限公司        ,1万-2万,Web前端|CSS3|Javascript|Vue|Node.js|H5前端开发|web前端|民营|20-99人|计算机软件,北京·东城·和平里,1-3年,大专,http://www.zhaopin.com/jobdetail/CCL1369732500J40250260204.htm
web前端开发工程师,          河南驰鹏科技有限公司        ,6千-1.2万,ERP项目|JavaScript|CSS|Vue|Bootstrap|Node.js|Canvas|OpenLayers|其它|20-99人|专业技术服务,平顶山·湛河区·马庄街道,3-5年,大专,http://www.zhaopin.com/jobdetail/CCL1420935110J40608954707.htm
web前端工程师,          绛门科技        ,1万-1.3万,Vue|React|上市公司|1000-9999人|计算机软件,重庆·渝北·大竹林,5-10年,本科,http://www.zhaopin.com/jobdetail/CC426773320J40470854505.htm
web前端开发工程师,          广州红海云计算股份有限公司        ,1万-2万·13薪,Web前端|HTML5|CSS3|jQuery|前端架构|Vue|web前端|民营|300-499人|计算机软件,广州·番禺·东环,3-5年,本科,http://www.zhaopin.com/jobdetail/CC537698523J00195049405.htm
Web前端工程师培训招生武汉,          51Testing        ,8千-1.2万,财务分析|民营|100-299人|计算机软件,武汉·武昌·水果湖街,经验不限,大专,http://www.zhaopin.com/jobdetail/CC145362720J40261998902.htm
web前端开发工程师,          南京宏景智能电网科技有限公司        ,1.2万-2.4万,CSS|JavaScript|HTML5|20人以下|电力/水利/热力/燃气,南京·江宁·秣陵,1-3年,本科,http://www.zhaopin.com/jobdetail/CC276806830J40586142506.htm
web前端工程师,          软通动力信息技术(集团)股份有限公司        ,9千-1.5万,Vue|民营|10000人以上|互联网,西安·长安·王寺,3-5年,本科,http://www.zhaopin.com/jobdetail/CC000544460J40556642016.htm
web前端工程师,          哇哦斯泰姆科技(天津)有限公司        ,1.1万-1.5万,CSS|JavaScript|HTML5|20-99人|互联网,天津·河西·友谊路,1-3年,大专,http://www.zhaopin.com/jobdetail/CCL1490877860J40628869413.htm
Web前端工程师,          中梓科技有限公司        ,1万-1.5万,水利信息化行业|其它|20-99人|计算机软件,合肥·蜀山·新产业园,3-5年,本科,http://www.zhaopin.com/jobdetail/CC883639980J40539853307.htm
web前端开发工程师,          广州智威智能科技有限公司        ,8千-1.2万·13薪,CSS|HTML5|Vue|计算机/软件工程相关专业|前端开发经验|民营|20-99人|人工智能,广州·南沙·黄阁,1-3年,本科,http://www.zhaopin.com/jobdetail/CC856556220J40620653912.htm
初级web前端工程师,          北京北科博研科技有限公司        ,4千-8千,JavaScript|民营|20-99人|计算机软件,长沙·岳麓·麓谷,经验不限,本科,http://www.zhaopin.com/jobdetail/CC226694010J40573126306.htm
web前端开发工程师,          中软国际        ,面议,JavaScript|CSS|HTML5|上市公司|10000人以上|计算机软件,深圳·龙岗·坂田,3-5年,本科,http://www.zhaopin.com/jobdetail/CC508620120J40646606012.htm
web前端工程师,          拓尔思信息技术股份有限公司        ,7千-1.2万,Vue|React|上市公司|1000-9999人|计算机软件,深圳·福田·福田街道,1-3年,本科,http://www.zhaopin.com/jobdetail/CC000614790J40597594006.htm
Web前端工程师,          苏州格道企业管理咨询有限公司        ,1.2万-2.4万·13薪,web前端|服务端开发|20-99人|咨询服务,苏州·虎丘·浒墅关,1-3年,本科,http://www.zhaopin.com/jobdetail/CCL1442942390J40436320514.htm
WEB前端工程师（高级） (MJ002789),          深圳市广电信义科技有限公司        ,1.2万-2.4万,HTML5|TypeScript|Vue|JavaScript|国企|100-299人|计算机软件,广州·从化·城郊,3-5年,本科,http://www.zhaopin.com/jobdetail/CCL1322687530J40607494115.htm
Web前端工程师,          西安笃定信息技术有限公司        ,1万-1.8万,Vue|web前端|民营|20-99人|计算机软件,西安·雁塔,经验不限,大专,http://www.zhaopin.com/jobdetail/CC631548230J40170752212.htm
web前端工程师（VUE+统招本科）,          深圳市法本信息技术股份有限公司        ,1万-1.2万,Vue|上市公司|1000-9999人|计算机软件,常州·武进·湖塘,3-5年,本科,http://www.zhaopin.com/jobdetail/CC385622410J40560593406.htm
web前端工程师,          潍坊和利时智慧能源有限公司        ,8千-1.2万,大屏/可视化项目|民营|20-99人|物联网,潍坊·奎文·清池,3-5年,大专,http://www.zhaopin.com/jobdetail/CC612716030J40620680912.htm
中级web前端工程师,          北京中软环球信息技术有限公司        ,1.2万-1.5万,CSS|Vue|股份制企业|100-299人|计算机软件,北京·昌平·沙河,3-5年,本科,http://www.zhaopin.com/jobdetail/CC281743630J40765765615.htm
web前端工程师,          北京中科建友科技股份有限公司        ,1万-1.4万,web前端|JavaScript|上市公司|100-299人|计算机软件,北京·西城·广安门内,3-5年,本科,http://www.zhaopin.com/jobdetail/CC298565610J40692025505.htm
web前端工程师,          软通动力信息技术(集团)股份有限公司        ,1万-1.6万,Node.js|民营|10000人以上|互联网,南京·雨花台·赛虹桥,3-5年,本科,http://www.zhaopin.com/jobdetail/CC000544460J40620571216.htm
web前端工程师,          郑州百思特软件科技有限公司        ,9千-1.2万,JavaScript|HTML5|Vue|React|Node.js|Three.js|民营|100-299人|计算机软件,大庆·让胡路区,3-5年,本科,http://www.zhaopin.com/jobdetail/CC811138360J40641443102.htm
web前端工程师,          武汉宝信信息技术有限公司        ,1万-1.6万,GIS/地图项目|大屏/可视化项目|Vue|100-299人|计算机软件,北京·丰台·看丹,1-3年,本科,http://www.zhaopin.com/jobdetail/CCL1379406630J40686177614.htm
web前端工程师（电话面试）,          软通动力信息技术(集团)股份有限公司        ,1.2万-2万,Vue|React|民营|10000人以上|互联网,深圳·龙岗·坂田,经验不限,本科,http://www.zhaopin.com/jobdetail/CC000544460J40589882016.htm
web前端工程师,          纬创软件        ,1.3万-1.9万,Vue|港澳台公司|1000-9999人|计算机软件,北京·昌平·史各庄,3-5年,本科,http://www.zhaopin.com/jobdetail/CC120817710J40673334901.htm
Web前端工程师,          中教畅享科技股份有限公司        ,1.2万-2万,web前端|H5前端开发|jQuery|移动前端|CSS|HTML5|JavaScript|ES6|民营|300-499人|计算机软件,北京·石景山·八宝山,1-3年,本科,http://www.zhaopin.com/jobdetail/CC153774310J40434696714.htm
web前端工程师,          南京百思奥信息技术有限公司        ,9千-1.2万,Vue|民营|20-99人|IT服务,南京·江宁·秣陵,3-5年,本科,http://www.zhaopin.com/jobdetail/CC658515030J40478295603.htm
web前端开发工程师（荣耀业务）,          软通动力信息技术(集团)股份有限公司        ,1.2万-1.6万,HTML5|Vue|CSS|React|React Native|民营|10000人以上|互联网,南京·雨花台·赛虹桥,3-5年,本科,http://www.zhaopin.com/jobdetail/CC000544460J40498875616.htm
web前端工程师,          新疆指南针文化发展有限公司        ,5千-1万,Vue|React|20人以下|在线教育,乌鲁木齐·沙依巴克区·环卫路街道,3-5年,本科,http://www.zhaopin.com/jobdetail/CC239919680J40642866115.htm
前端开发,          北京科锐国际人力资源股份有限公司苏州分公司        ,1.2万-1.8万,Vue|React|上市公司|1000-9999人|咨询服务,北京·海淀·马连洼,3-5年,本科,http://www.zhaopin.com/jobdetail/CC289346030J40629101402.htm
web前端工程师,          深圳市睿服科技有限公司        ,1.3万-1.7万,HTML5|Vue|React|Node.js|股份制企业|1000-9999人|IT服务,深圳·福田·福田街道,3-5年,本科,http://www.zhaopin.com/jobdetail/CC603465980J40605005609.htm
web 前端开发工程师,          北京津鸿科技有限公司        ,1.5万-2万·13薪,JavaScript|Vue|Echarts|前端开发|Web端|linux|HTML5|计算机/软件工程相关专业|前端开发经验|PC端|民营|20-99人|计算机软件,北京·海淀·四季青,3-5年,本科,http://www.zhaopin.com/jobdetail/CCL1481905590J40605737901.htm
web前端工程师,          南京圣鼎科技有限公司        ,8千-1.5万,大屏/可视化项目|CSS|JavaScript|HTML5|Vue|Echarts|民营|20-99人|计算机软件,南京·栖霞·马群,3-5年,本科,http://www.zhaopin.com/jobdetail/CC333634910J40610081502.htm
高级web前端讲师,          北京工商管理专修学院        ,1.5万-3万,AngularJS|react|Vue.js|Vue|小程序|民营|100-299人|培训/辅导服务,北京·南口,3-5年,大专,http://www.zhaopin.com/jobdetail/CC000643665J90250741000.htm
高级web前端开发工程师（平台）,          浪潮集团        ,1万-1.5万·14薪,Vue|React|Angular|国企|10000人以上|IT服务,济南·历下·舜华路,5-10年,硕士,http://www.zhaopin.com/jobdetail/CC120143600J40089524115.htm
Web前端工程师,          山东胜软科技股份有限公司        ,8千-1.2万·14薪,web前端|Vue|HTML5|Webpack|jQuery|ES6|CSS|民营|500-999人|计算机软件,济南·历城·港沟,3-5年,本科,http://www.zhaopin.com/jobdetail/CC144819440J40340488703.htm
web前端开发工程师,          河北年丰农业科技有限公司        ,1.1万-1.2万,20-99人|农/林/牧/渔,保定·竞秀·保定高新区,3-5年,大专,http://www.zhaopin.com/jobdetail/CCL1391911770J40524257707.htm
web前端开发工程师,          京北方        ,1.1万-1.5万,web前端|H5前端开发|Vue|React|民营|10000人以上|IT服务,成都·双流·兴隆,3-5年,本科,http://www.zhaopin.com/jobdetail/CC315847110J40484494407.htm
web前端工程师,          南京百思奥信息技术有限公司        ,1万-1.3万,web前端|民营|20-99人|IT服务,南京·建邺·沙洲,3-5年,本科,http://www.zhaopin.com/jobdetail/CC658515030J40498696103.htm
web前端开发工程师,          超星集团有限公司        ,9千-1.5万,CSS|JavaScript|HTML5|Vue|Node.js|Echarts|民营|1000-9999人|在线教育,武汉·洪山·洪山街道,3-5年,本科,http://www.zhaopin.com/jobdetail/CCL1219635220J40645056703.htm
web前端工程师,          深圳市优阅达数据科技有限公司        ,1.1万-1.5万,金融项目|银行项目|HTML5|JavaScript|web前端|其它|100-299人|计算机软件,上海·浦东·金桥,1-3年,本科,http://www.zhaopin.com/jobdetail/CC273871280J40768117915.htm
web前端工程师,          山西三友和        ,4千-8千,CSS|JavaScript|HTML5|Vue|股份制企业|100-299人|计算机硬件,太原·晋源·义井,1-3年,大专,http://www.zhaopin.com/jobdetail/CC236605110J40622443913.htm
web前端工程师,          广州市正成觉数字科技有限公司        ,1.3万-1.5万,CSS|JavaScript|HTML5|民营|20人以下|电子商务,深圳·福田·莲花,1-3年,大专,http://www.zhaopin.com/jobdetail/CCL1482212540J40832575204.htm
中高级Web前端工程师,          美捷智汇大数据科技重庆有限公司        ,9千-1.2万·14薪,JavaScript|Vue|民营|20-99人|计算机软件,重庆·渝北·龙溪,3-5年,本科,http://www.zhaopin.com/jobdetail/CCL1405606920J40589084106.htm
前端开发,          北京科锐国际人力资源股份有限公司苏州分公司        ,1.1万-2万,电商项目|CSS|JavaScript|HTML5|Vue|React|上市公司|1000-9999人|咨询服务,深圳·光明·新湖,3-5年,本科,http://www.zhaopin.com/jobdetail/CC289346030J40660884102.htm
web前端开发工程师,          成都中科大旗软件股份有限公司        ,1万-1.3万·13薪,民营|100-299人|计算机软件,成都·高新区·华阳,3-5年,本科,http://www.zhaopin.com/jobdetail/CC229512017J00470931502.htm
web前端工程师,          拓保软件        ,1.3万-1.7万,TypeScript|Vue|React|民营|1000-9999人|计算机软件,深圳·福田·华富,3-5年,本科,http://www.zhaopin.com/jobdetail/CC157088920J40617362116.htm
Web前端工程师,          应辉环境科技服务(烟台)有限公司        ,9千-1.2万,WEB开发|民营|20-99人|云计算/大数据,烟台·芝罘·黄务,1-3年,大专,http://www.zhaopin.com/jobdetail/CC817314830J40292895002.htm
急招web前端工程师 上海,          上海硒域科技有限公司        ,1万-2万,Vue|民营|20-99人|计算机软件,上海·长宁·新泾,3-5年,本科,http://www.zhaopin.com/jobdetail/CCL1235845090J40681777305.htm
移动web前端开发工程师,          西安天青数据服务有限公司        ,8千-1.2万,Vue|HTML5|CSS|民营|20-99人|计算机软件,西安·雁塔,1-3年,本科,http://www.zhaopin.com/jobdetail/CCL1472065640J40567729401.htm
web前端开发工程师,          外企德科数字技术有限公司        ,1.4万-2.8万·14薪,ERP项目|鸿蒙项目|JavaScript|TypeScript|CSS|Vue|React|Angular|Node.js|合资|10000人以上|人力资源服务,深圳·龙岗·坂田,经验不限,本科,http://www.zhaopin.com/jobdetail/CCL1480117890J40603027205.htm
成都web前端工程师,          郑州海奥软件科技有限公司        ,8千-1.3万,web前端|HTML|CSS|JavaScript|React|Vue|ES5|WebGL|民营|100-299人|IT服务,成都·双流·华阳,1-3年,本科,http://www.zhaopin.com/jobdetail/CC557155320J40646389903.htm
web前端开发工程师,          西安普瑞米特科技有限公司        ,6千-1万,uni-app|小程序|小程序开发|web前端|移动前端|民营|100-299人|仪器仪表制造,西安·雁塔·丈八沟,1-3年,本科,http://www.zhaopin.com/jobdetail/CC233934110J40285319814.htm
Web前端工程师,          玖影软件股份有限公司        ,5千-8千,Vue|CSS|HTML5|web前端|JavaScript|民营|100-299人|计算机软件,哈尔滨·南岗·王岗,1-3年,大专,http://www.zhaopin.com/jobdetail/CCL1416040350J40328907108.htm
web前端开发工程师,          软通动力信息技术(集团)股份有限公司        ,1.2万-1.8万,Vue|Electron|TypeScript|Node.js|VUE3|民营|10000人以上|互联网,合肥·蜀山·高新区,3-5年,本科,http://www.zhaopin.com/jobdetail/CC000544460J40628250116.htm
web前端开发工程师,          上海昌谷实业有限公司        ,1万-1.5万,大屏/可视化项目|Vue|HTML5|民营|20-99人|零售/批发,上海,3-5年,本科,http://www.zhaopin.com/jobdetail/CC191763920J40556998603.htm
web前端开发工程师,          北京安达维尔科技股份有限公司        ,1.3万-2万,HTML5|CSS|上市公司|500-999人|船舶/航空/航天/火车制造,北京·顺义·石园,3-5年,本科,http://www.zhaopin.com/jobdetail/CC120398310J40646037314.htm
web前端工程师,          深圳市创世纪科技发展有限公司        ,8千-1.5万·13薪,大屏/可视化项目|GIS/地图项目|JavaScript|HTML5|TypeScript|Node.js|WebGL|Vue|Ant Design|Express|Egret|民营|300-499人|计算机软件,深圳·龙岗·宝龙,1-3年,本科,http://www.zhaopin.com/jobdetail/CC321869010J40623320513.htm
web前端工程师,          兴瑞和(济南)网络信息科技有限公司        ,5千-8千,web前端|HTML|Vue|Redux|20-99人|计算机软件,济南·历下·舜华路,经验不限,大专,http://www.zhaopin.com/jobdetail/CCL1490957620J40633373113.htm
Web前端工程师,          云南云金地科技有限公司        ,8千-1.2万,Web前端|Javascript|HTML|CSS|民营|300-499人|专业技术服务,昆明·五华·普吉,1-3年,大专,http://www.zhaopin.com/jobdetail/CC859345030J40260307701.htm
web前端工程师,          中科软科技股份有限公司        ,9千-1.4万,CSS|JavaScript|Vue|ElementUI|jQuery|Node.js|Sass|ES6|Webpack|股份制企业|1000-9999人|计算机软件,北京·朝阳·高碑店,3-5年,本科,http://www.zhaopin.com/jobdetail/CC120160390J40617407016.htm
web前端工程师,          新疆卓信永鸿信息技术有限公司        ,5千-1万·13薪,CSS|JavaScript|HTML5|Vue|React|Angular|Node.js|Echarts|WebGL|民营|20-99人|IT服务,乌鲁木齐·新市区·长春中路街道,经验不限,本科,http://www.zhaopin.com/jobdetail/CCL1257104440J40598735516.htm
web前端工程师,          浙江海博拓天信息科技有限公司        ,1万-1.5万,React|民营|1000-9999人|互联网,南京·玄武·新街口,3-5年,本科,http://www.zhaopin.com/jobdetail/CC832035170J40589526403.htm
Web前端工程师（大数据可视化）,          北京展云科技有限公司        ,1万-1.6万,大屏/可视化项目|RAYDATA|民营|20-99人|计算机软件,北京·丰台·五里店,1-3年,本科,http://www.zhaopin.com/jobdetail/CC483343630J40609844915.htm
Web前端开发,          青岛盘古机器人有限公司        ,6千-1.2万,Vue|React|民营|20-99人|人工智能,青岛·崂山·中韩,1-3年,本科,http://www.zhaopin.com/jobdetail/CCL1453764870J40747170604.htm
web前端工程师（五险 ）,          创辉科技有限公司        ,8千-1.2万,大屏/可视化项目|GIS/地图项目|CSS|HTML5|Vue|民营|20-99人|IT服务,石家庄·桥西·红旗,5-10年,本科,http://www.zhaopin.com/jobdetail/CC555796380J40763507204.htm
web前端开发工程师,          软通动力信息技术(集团)股份有限公司        ,1.3万-1.7万,Vue|React|民营|10000人以上|互联网,深圳·龙岗·坂田,经验不限,本科,http://www.zhaopin.com/jobdetail/CC000544460J40605705016.htm
中高级web前端开发工程师B,          中软国际        ,面议,JavaScript|CSS|HTML5|Vue|React|Angular|前端|上市公司|10000人以上|计算机软件,长沙·岳麓·麓谷,3-5年,本科,http://www.zhaopin.com/jobdetail/CC508620120J40665936812.htm
web前端工程师,          二一二越野车有限公司        ,8千-1万,HTML5|CSS|JavaScript|Vue|100-299人|汽车研发/制造,青岛·莱西·姜山,3-5年,学历不限,http://www.zhaopin.com/jobdetail/CCL1475764790J40532117204.htm
web前端工程师,          石家庄虚构凝聚文化传媒有限公司        ,5千-8千,ERP项目|游戏项目|100-299人|网络/信息安全,石家庄·长安·中山东路,经验不限,大专,http://www.zhaopin.com/jobdetail/CC578319480J40762986415.htm
web前端开发工程师,          亚信科技(中国)有限公司        ,1.1万-1.7万·13薪,CSS|JavaScript|HTML5|Vue|React|民营|10000人以上|通信/网络设备,广州·天河·天园,3-5年,本科,http://www.zhaopin.com/jobdetail/CC139131340J40661143411.htm
web前端工程师,          绛门科技        ,1.3万-2万,Vue|jQuery|Node.js|上市公司|1000-9999人|计算机软件,北京·海淀·东升,3-5年,本科,http://www.zhaopin.com/jobdetail/CC426773320J40642364805.htm
Web前端开发工程师,          龙软科技        ,9千-1.8万·13薪,HTML|XHTML|CSS|HTML5|CSS3|Vue|上市公司|500-999人|计算机软件,北京·海淀·海淀街道,1-3年,本科,http://www.zhaopin.com/jobdetail/CC120911470J40127163915.htm
Web前端开发工程师,          青岛云指针软件有限公司        ,1万-2万,web前端|Vue|TypeScript|HTML|民营|20-99人|计算机软件,青岛·市南·湛山,3-5年,大专,http://www.zhaopin.com/jobdetail/CC625370320J40483536010.htm
Web前端工程师,          常州安控电器成套设备有限公司        ,1万-1.5万,Webpack|web前端|小程序开发|ES6|Vue|uni-app|CSS|Node.js|民营|20-99人|零售/批发,常州·溧阳·昆仑,3-5年,本科,http://www.zhaopin.com/jobdetail/CC373684410J40371489004.htm
Web前端开发工程师,          河北创巨圆科技发展有限公司        ,7千-1万,Vue|uni-app|web前端|民营|20-99人|计算机软件,石家庄·长安·谈固,3-5年,本科,http://www.zhaopin.com/jobdetail/CC175110120J40350343106.htm
web前端开发工程师,          正方软件股份有限公司        ,1.2万-2万,大屏/可视化项目|CSS|JavaScript|HTML5|Vue|jQuery|uni-app|股份制企业|100-299人|计算机软件,杭州·西湖·蒋村,3-5年,本科,http://www.zhaopin.com/jobdetail/CC145057450J40668567701.htm
Web前端开发工程师,          西安海天信息工程有限公司        ,1万-1.5万,CSS|JavaScript|Vue|uni-app|HTML5|民营|20-99人|计算机软件,西安·雁塔,3-5年,本科,http://www.zhaopin.com/jobdetail/CC142668020J40621041412.htm
web前端开发工程师,          中软国际        ,面议,React|上市公司|10000人以上|计算机软件,深圳·龙岗·坂田,3-5年,本科,http://www.zhaopin.com/jobdetail/CC508620120J40674154212.htm
Web前端工程师,          京北方        ,1.6万-1.8万,CSS|Javascript|Vue|民营|10000人以上|IT服务,北京·丰台·看丹,3-5年,本科,http://www.zhaopin.com/jobdetail/CC315847110J40207242407.htm
web前端工程师,          天元瑞信通信技术股份有限公司        ,1.1万-1.4万,Vue|大屏/可视化项目|GIS/地图项目|JavaScript|CSS|TypeScript|uni-app|Ant Design|Node.js|WebGL|Three.js|民营|1000-9999人|运营商/增值服务,西安·长安·郭杜,5-10年,本科,http://www.zhaopin.com/jobdetail/CC133058570J40627065102.htm
web前端工程师,          湖南奇点引擎科技有限公司        ,1万-1.2万,大屏/可视化项目|抖音小程序|CSS|JavaScript|HTML5|Vue|React|uni-app|Node.js|其它|20-99人|计算机软件,长沙·芙蓉·定王台,3-5年,本科,http://www.zhaopin.com/jobdetail/CCL1479207590J40681115207.htm
